INSTRUMENTO,Nº DO TERMO,TERMO DE COLABORAÇÃO,MÊS COMPETÊNCIA,ANO COMPETÊNCIA,ITEM,DESCRIÇÃO,VALOR,NF,EMPRESA,STATUS,DATA PGTO
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.19,MATERIAL PEDAGÓGICO,"R$ 1.547,20",6146.0,FORTAL,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.19,MATERIAL PEDAGÓGICO,"R$ 378,97",6185.0,FORTAL,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.23,UTENSÍLIOS DE COZINHA,"R$ 353,00",570.0,R&R,PAGA,20/02/2026
1247749,25/2022,CSMI CURIÓ,FEVEREIRO,2026,1.6.25,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 4.388,55",149.0,ARRUDA,PAGA,20/02/2026
1405863,68/2025,CASA CIVIL,JANEIRO,2026,,MATERIAL DE EXPEDIENTE,"R$ 865,61",6073.0,FORTAL,PAGA,30/01/2026
1405863,68/2025,CASA CIVIL,JANEIRO,2026,,MATERIAL DE COPA E COZINHA,"R$ 183,72",540.0,R&R,PAGA,30/01/2026
1405863,68/2025,CASA CIVIL,JANEIRO,2026,,MATERIAL PARA FESTIVIDADES E HOMENAGENS,"R$ 889,65",6071.0,FORTAL,PAGA,30/01/2026
1405863,68/2025,CASA CIVIL,JANEIRO,2026,,SERVIÇO DE COMUNICAÇÃO EM GERAL,"R$ 936,00",59.0,KM SERVIÇOS,PAGA,30/01/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,GÊNEROS ALIMENTÍCIOS,"R$ 10.075,12",106.0,AVANTI,PAGA,12/02/2026
1405863,68/2025,CASA CIVIL,FEVEREIRO,2026,,GÊNEROS ALIMENTÍCIOS,"R$ 1.590,64",37006.0,CCPF,PAGA,12/02/2026
